Origin,Destination,Count
ADELAIDE,ALICE SPRINGS,1898
ADELAIDE,BRISBANE,9500
ADELAIDE,CANBERRA,2341
ADELAIDE,GOLD COAST,1922
ADELAIDE,MELBOURNE,25042
ADELAIDE,PERTH,7091
ADELAIDE,PORT LINCOLN,9764
ADELAIDE,SYDNEY,18235
ALBURY,SYDNEY,7289
ALICE SPRINGS,DARWIN,1806
ARMIDALE,SYDNEY,5241
AYERS ROCK,SYDNEY,1722
BALLINA,SYDNEY,6384
BRISBANE,CAIRNS,17368
BRISBANE,CANBERRA,9247
BRISBANE,DARWIN,4194
BRISBANE,EMERALD,5779
BRISBANE,GLADSTONE,7092
BRISBANE,HAMILTON ISLAND,2288
BRISBANE,HOBART,2349
BRISBANE,MACKAY,12345
BRISBANE,MELBOURNE,34070
BRISBANE,MOUNT ISA,2361
BRISBANE,NEWCASTLE,7868
BRISBANE,PERTH,8502
BRISBANE,PROSERPINE,3084
BRISBANE,ROCKHAMPTON,12366
BRISBANE,SYDNEY,47923
BRISBANE,TOWNSVILLE,13479
BROOME,PERTH,6090
BUNDABERG,BRISBANE,4419
CAIRNS,MELBOURNE,6223
CAIRNS,SYDNEY,8393
CAIRNS,TOWNSVILLE,4899
CANBERRA,MELBOURNE,14097
CANBERRA,SYDNEY,19575
COFFS HARBOUR,SYDNEY,6369
DARWIN,MELBOURNE,2502
DARWIN,PERTH,1814
DARWIN,SYDNEY,2712
DUBBO,SYDNEY,7251
GERALDTON,PERTH,1048
GOLD COAST,SYDNEY,22917
HAMILTON ISLAND,MELBOURNE,303
HAMILTON ISLAND,SYDNEY,2232
HOBART,MELBOURNE,14705
HOBART,SYDNEY,7423
KALGOORLIE,PERTH,6187
KARRATHA,PERTH,9367
LAUNCESTON,MELBOURNE,11719
LAUNCESTON,SYDNEY,2657
MELBOURNE,GOLD COAST,15840
MELBOURNE,MILDURA,5916
MELBOURNE,NEWCASTLE,4055
MELBOURNE,PERTH,16712
MELBOURNE,SYDNEY,79474
PERTH,NEWMAN,6453
PERTH,PORT HEDLAND,7345
PERTH,SYDNEY,11913
PORT MACQUARIE,SYDNEY,4906
PROSERPINE,SYDNEY,826
SUNSHINE COAST,MELBOURNE,4471
SUNSHINE COAST,SYDNEY,6107
SYDNEY,TAMWORTH,5231
SYDNEY,TOWNSVILLE,1441
SYDNEY,WAGGA WAGGA,6517